,Consumer Non-Durables,Capital Goods,Health Care,Energy,Technology,Basic Industries,Finance,Consumer Services,Public Utilities,Miscellaneous,Consumer Durables,Transportation
0,KO,TSLA,BNTC,XOM,AAPL,PG,JPM,AMZN,VZ,BABA,ABB,UPS
1,PEP,TM,JNJ,CVX,MSFT,UL,BAC,TV,T,V,KMB,UNP
2,NKE,TMO,UNH,BBL,GOOG,UN,RY,WMT,CHL,MA,CVNA,CNI
3,PM,DHR,MRK,TOT,GOOGL,BHP,C,HD,TMUS,PYPL,CLX,CSX
4,BUD,HON,PFE,BP,FB,LIN,WFC,DIS,NEE,ACN,BLL,FDX
5,SNE,LMT,NVS,ENB,TSM,RIO,TD,NFLX,D,PDD,CPRT,NSC
6,MDLZ,BA,ABT,PTR,NVDA,APD,BLK,CMCSA,DUK,FIS,AME,CP
7,MO,RTX,ABBV,GE,CRM,ECL,HDB,MCD,SO,NTES,AMCR,ZTO
8,DEO,CAT,NVO,SNP,ADBE,VALE,HSBC,COST,AMX,MELI,KMX,ODFL
9,BTI,DE,AMGN,PBR,INTC,NEM,SPGI,CHTR,AMOV,UBER,POOL,LUV
10,EL,NOC,AZN,EQNR,SAP,GOLD,MS,LOW,AMOV,GPN,GNRC,DAL
11,CL,ILMN,MDT,CEO,CSCO,GOLD,AXP,JD,WM,EBAY,WHR,RYAAY
12,LULU,RACE,LLY,PHG,ORCL,DD,GS,AMT,TRP,CSGP,CCK,KSU
13,MNST,ROP,BMY,EMR,ASML,SCCO,LFC,SBUX,VOD,MSCI,AVY,JBHT
14,KHC,HMC,SNY,COP,AVGO,DOW,CME,BKNG,BCE,FLT,PKG,EXPD
15,KDP,GD,GSK,E,QCOM,PPG,MMC,PLD,NGG,Z,WSO,CHRW
16,GIS,GM,MMM,CMI,TXN,FNV,CB,TGT,AEP,ZG,WRK,UAL
17,ABEV,LHX,ISRG,OTIS,SHOP,GLW,ICE,SE,EPD,AKAM,AOS,ZNH
18,STZ,APH,CVS,PSX,IBM,CHD,USB,EQIX,XEL,CAJ,VRM,KNX
19,CTAS,KLAC,GILD,EOG,AMD,LEN,MCO,CCI,EXC,TCOM,REYN,AAL
20,HSY,A,ZTS,SLB,NOW,WPM,PGR,TJX,SRE,BR,MHK,CEA
21,SYY,CRH,SYK,SU,INTU,LYB,RKT,SHW,KMI,ETSY,IAA,LSTR
22,HRL,PCAR,BDX,CNQ,ZM,FCX,BNS,BAM,ORAN,FICO,CASY,SNDR
23,MKC,TT,VRTX,EC,SQ,NTR,BEKE,SPOT,RSG,WU,CGC,ALK
24,VFC,F,ANTM,MPC,FISV,WST,TFC,DG,WEC,FTCH,LAD,PAC
25,ADM,TDG,REGN,VLO,ATVI,AEM,MUFG,TAL,ES,LYFT,LEG,SAIA
26,K,ROK,CI,PTON,ITW,VMC,PNC,RELX,CHT,BFAM,SON,ASR
27,TSN,PH,TAK,MPLX,ADP,IP,SCHW,DLR,CHA,WEX,HELE,WERN
28,CTVA,DHI,BSX,PXD,VMW,KL,AON,LVS,WCN,DLB,AN,JBLU
29,FMX,CARR,HUM,BKR,AMAT,FMC,WBK,TRI,PEG,GRUB,ASH,BCO
30,CAG,SWK,EW,HES,INFY,NUE,UBS,PSA,AWK,RBA,TPX,CPA
31,CCEP,FTV,HCA,HAL,ADSK,MT,ITUB,CMG,WMB,CDK,LFUS,ALGT
32,DPZ,NIO,BIIB,PBA,WDAY,IFF,PUK,ORLY,TU,NLSN,AYI,ATCO
33,CPB,MTD,BAX,IMO,LRCX,MLM,BMO,SBAC,ED,MMS,SLGN,EURN
34,SJM,APTV,DXCM,OXY,MU,PKX,SMFG,MAR,CHU,TNET,RBC,HUBG
35,HAS,FCAU,CNC,CXO,TEAM,SUZ,BSBR,ROST,DTE,STMP,GPK,OMAB
36,SAM,GRMN,WBA,MMP,DELL,CE,BX,W,PPL,ENV,MUSA,SKYW
37,ENTG,KEYS,IDXX,COG,ADI,AES,SAN,JCI,TEF,HQY,PAG,HTLD
38,LW,LI,IQV,CLR,BIDU,AU,IBN,DKNG,TLK,CAE,ARD,BEST
39,KOF,NVR,ZBH,FANG,EA,FBHS,MET,YUM,EIX,FOUR,UNVR,FWRD
40,BYND,MAS,ALC,CVE,ETN,J,CM,BBY,AEE,FVRR,FELE,SAVE
41,TAP,MGA,MRNA,PSXP,VEEV,RPM,MFG,KR,ETR,NOVT,CWH,SAVE
42,ATR,NKLA,SGEN,APA,DOCU,GFI,BK,AZO,FTS,WNS,BRC,FRO
43,NWL,BIO,RMD,WWD,ERIC,KGC,BBD,FAST,PCG,ENR,HI,ATSG
44,BERY,HEI,FMS,BWXT,TWLO,EMN,ING,PAYX,ET,NCR,AIT,MRTN
45,BG,XYL,MCK,SSL,CTSH,ALB,COF,TME,CQP,SPB           ,KAR,AAWW
46,AZEK,TER,RPRX,PLUG,NXPI,SMG,BBDO,LBRDK,CMS,HMSY,CENT,GSH
47,POST,GPC,ALGN,PAA,SPLK,RGLD,TROW,SIRI,FE,CMPR,GT,AZUL
48,DECK,IEX,GMAB,BC,SNPS,TREX,TRV,LBRDA,SKM,ITGR,CENTA,GOL
49,COLM,WAT,ALXN,NBL,TWTR,SQM,MFC,HLT,AGR,ADS,IRBT,SFL
